"visitor","day_pass","season_ticket","domestic","state","country","gender","age","maine_res","stay_four","payment_method","ice_cream_purch","ice_cream_flavor","sky_chair","ferris_wheel","lobster_claw","lobster_junior","merch_spend","lobsterama_spend"
26,1,"No",0,"NaN","IND",1,43,"No",1,0,0,"None",0,1,0,1,57.6905154809468,36.07
27,1,"No",1,"NH","USA",0,36,"No",0,0,0,"None",0,0,0,1,56.1399206169803,16.73
28,1,"No",1,"MA","USA",1,34,"No",1,0,0,"None",1,0,0,0,41.5320314242474,28.68
29,1,"No",1,"MA","USA",1,26,"No",1,0,0,"None",0,0,0,0,48.4618690707087,17.56
30,1,"No",1,"RI","USA",1,38,"No",1,0,1,"Chocolate",1,0,0,1,28.8705606985479,24.64
31,0,"Yes",1,"ME","USA",0,37,"Yes",1,0,0,"None",0,0,0,0,42.9998109690984,25.49
32,1,"No",1,"Other","USA",0,40,"No",0,0,0,"None",0,0,0,0,31.668493644568,7.56
33,1,"No",1,"ME","USA",0,34,"Yes",1,0,0,"None",0,0,0,1,34.8522264334423,39.18
34,0,"Yes",1,"NY","USA",0,44,"No",0,0,0,"None",1,1,0,0,35.9690309839462,12.65
35,1,"No",1,"VT","USA",1,32,"No",1,1,0,"None",0,0,1,0,33.9317193993187,36.92
36,0,"Yes",1,"VT","USA",1,51,"No",1,0,0,"None",0,1,0,1,40.370268304825,23.43
37,1,"No",1,"NY","USA",1,47,"No",0,1,0,"None",1,0,0,0,35.7215988864336,24.54
38,0,"Yes",1,"ME","USA",0,32,"Yes",1,1,0,"None",1,0,0,1,44.8099302265798,29.68
39,1,"No",1,"ME","USA",1,39,"Yes",1,0,0,"None",0,0,1,0,33.9316826947342,35.65
40,1,"No",1,"NH","USA",0,38,"No",1,0,0,"None",0,0,1,0,43.7007903915496,39.73
41,0,"Yes",1,"MA","USA",0,39,"No",1,0,1,"Vanilla",1,0,0,1,23.0311984628063,13.69
42,0,"Yes",1,"ME","USA",1,39,"Yes",1,0,0,"None",0,1,0,0,37.1512678151857,17.26
43,1,"No",1,"Other","USA",1,45,"No",1,0,1,"Vanilla",0,1,0,0,63.0977500355192,29.63
44,1,"No",0,"NaN","FRA",1,25,"No",1,1,1,"Chocolate",1,1,0,1,57.4922167350155,35.37
45,0,"Yes",1,"VT","USA",1,33,"No",1,0,1,"Vanilla",0,0,1,0,40.9582511697365,23.58
46,0,"Yes",1,"NY","USA",1,38,"No",0,0,1,"Chocolate",1,0,0,0,31.998105881367,13.87
47,1,"No",1,"MA","USA",1,35,"No",0,0,1,"Vanilla",0,1,1,1,51.829604828773,22.16
48,0,"Yes",1,"NY","USA",1,40,"No",1,0,0,"None",0,0,0,0,32.9722410188243,29.46
49,1,"No",1,"ME","USA",1,38,"Yes",0,0,0,"None",1,1,0,0,42.7121796706708,31.32
50,1,"No",1,"ME","USA",1,53,"Yes",1,1,1,"Chocolate",1,0,1,1,40.4384339073928,9.97
51,0,"Yes",1,"ME","USA",0,40,"Yes",1,0,1,"Vanilla",0,1,0,1,41.5812048437478,24.71
52,1,"No",0,"NaN","CAN",1,35,"No",1,0,0,"None",1,0,0,0,60.9384556377987,32.58
53,0,"Yes",1,"MA","USA",0,46,"No",0,0,0,"None",0,0,0,1,30.7988293625014,18.41
54,0,"Yes",1,"NY","USA",1,40,"No",0,1,0,"None",1,0,1,0,27.0200000617872,50.68
55,0,"Yes",1,"NH","USA",1,34,"No",0,0,0,"None",1,0,0,1,25.8712870715235,25.93
56,0,"Yes",1,"ME","USA",1,32,"Yes",1,0,1,"Chocolate",1,1,1,1,31.4298527788328,23.98
57,0,"Yes",1,"NH","USA",1,36,"No",0,0,0,"None",0,0,1,0,42.0291765465346,26.78
58,1,"No",0,"NaN","CHN",1,43,"No",1,0,0,"None",1,1,1,1,49.4589520775212,31.75
59,1,"No",0,"NaN","FRA",1,50,"No",1,0,0,"None",0,1,0,0,56.1596059684603,30.48
60,0,"Yes",1,"RI","USA",1,42,"No",1,1,0,"None",1,1,1,1,40.8587926419373,13.88
61,1,"No",1,"RI","USA",0,45,"No",0,0,0,"None",0,0,0,0,41.5811548294274,23.62
62,0,"Yes",1,"VT","USA",0,52,"No",0,1,0,"None",0,1,1,0,41.7178789647333,38.1
63,0,"Yes",1,"ME","USA",0,43,"Yes",0,0,0,"None",1,1,0,0,40.2993247783054,41.87
64,0,"Yes",0,"NaN","CAN",1,35,"No",1,0,1,"Chocolate",1,1,0,0,46.8701175957045,25.02
65,1,"No",1,"ME","USA",0,44,"Yes",1,0,0,"None",0,0,0,0,45.2383033922045,36.91
66,0,"Yes",1,"VT","USA",0,42,"No",1,0,1,"Chocolate",1,0,1,1,33.4096850115391,26.6
67,1,"No",1,"ME","USA",0,42,"Yes",1,0,0,"None",1,0,0,1,53.0019228237127,35.51
68,1,"No",1,"Other","USA",0,41,"No",1,0,0,"None",0,0,1,0,46.7589983106386,31.56
69,1,"No",1,"VT","USA",0,38,"No",1,0,1,"Vanilla",0,0,0,0,41.6881240304223,46.93
70,1,"No",1,"MA","USA",1,33,"No",1,0,0,"None",1,1,1,0,54.0117352803114,22.94
71,1,"No",1,"Other","USA",1,33,"No",1,0,0,"None",1,1,0,1,44.9305300218418,36.54
72,1,"No",1,"NY","USA",1,43,"No",0,0,0,"None",1,0,0,1,28.6991693089113,29.18
73,1,"No",1,"MA","USA",0,35,"No",0,0,0,"None",0,1,0,0,32.3291652058503,25.35
74,1,"No",0,"NaN","BRA",0,33,"No",1,0,0,"None",0,1,0,0,59.3120072145458,29.94
75,1,"No",1,"Other","USA",1,26,"No",1,0,0,"None",1,0,0,0,47.0921464997518,27.32
76,0,"Yes",1,"VT","USA",1,36,"No",0,0,0,"None",0,0,1,1,23.3716656616249,24.54
77,1,"No",1,"NH","USA",1,39,"No",0,0,1,"Vanilla",1,0,1,0,36.9722083028964,21.45
78,1,"No",1,"Other","USA",0,45,"No",1,0,1,"Chocolate",1,0,0,0,39.9285554382779,23.2
79,1,"No",1,"MA","USA",0,28,"No",1,0,1,"Vanilla",1,1,0,0,31.9511215084262,23.36
80,1,"No",1,"ME","USA",1,32,"Yes",0,0,0,"None",0,0,0,1,38.4110225157228,39.9
81,1,"No",1,"ME","USA",1,29,"Yes",0,0,1,"Vanilla",1,0,0,1,39.0182723774938,39.01
82,1,"No",0,"NaN","FRA",0,37,"No",1,1,1,"Chocolate",0,1,0,1,60.3809249047692,28.68
83,0,"Yes",1,"NY","USA",0,40,"No",1,0,0,"None",0,0,0,1,54.5389724527407,40.22
84,0,"Yes",1,"MA","USA",1,35,"No",1,0,0,"None",0,0,0,0,32.2203225527821,-3.18
85,1,"No",1,"VT","USA",0,29,"No",1,0,1,"Vanilla",0,1,0,0,31.5695360666323,13.05
86,1,"No",1,"Other","USA",0,42,"No",0,0,0,"None",1,0,0,0,39.56114662927,11.85
87,0,"Yes",1,"NH","USA",0,40,"No",1,0,0,"None",1,1,0,0,41.8800900589417,46.74
88,1,"No",1,"NH","USA",0,38,"No",0,0,1,"Chocolate",1,0,0,0,46.6787687013693,18.38
89,1,"No",0,"NaN","CHN",1,38,"No",0,0,1,"Vanilla",1,1,0,0,55.9603892563209,32.03
90,1,"No",1,"RI","USA",0,41,"No",0,0,0,"None",0,0,1,1,30.9104751464153,47.76
91,0,"Yes",1,"NH","USA",0,31,"No",1,0,0,"None",1,1,0,0,30.9607336695908,20.13
92,1,"No",1,"MA","USA",1,40,"No",0,0,0,"None",1,1,1,0,44.8412534829888,14.21
93,1,"No",1,"VT","USA",0,37,"No",1,0,0,"None",1,1,0,1,27.3783670167669,43.75
94,0,"Yes",1,"ME","USA",0,28,"Yes",1,0,1,"Chocolate",0,0,0,0,35.7288796881666,20.35
95,0,"Yes",1,"ME","USA",0,38,"Yes",1,0,1,"Vanilla",1,1,0,1,36.2090498911741,27.26
96,1,"No",0,"NaN","IND",0,26,"No",1,0,0,"None",1,1,0,0,67.10117344726,33.06
97,1,"No",0,"NaN","UK",1,37,"No",1,0,0,"None",0,1,0,0,53.0707949471608,30.05
98,0,"Yes",1,"ME","USA",0,37,"Yes",0,0,0,"None",0,0,0,0,32.1699141892501,54.41
99,0,"Yes",1,"ME","USA",0,51,"Yes",0,0,0,"None",0,0,0,0,40.260915326994,17.52
100,0,"Yes",1,"VT","USA",1,17,"No",0,1,0,"None",1,0,0,0,55.3887047513696,34.17
101,1,"No",1,"VT","USA",0,41,"No",0,0,0,"None",0,1,0,0,31.018493547678,31.48
102,1,"No",1,"Other","USA",1,44,"No",1,0,0,"None",1,1,0,0,37.0110712777456,39.09
103,1,"No",1,"VT","USA",1,36,"No",1,0,1,"Vanilla",1,1,1,1,31.2990035401544,25.44
104,0,"Yes",1,"MA","USA",1,36,"No",1,0,0,"None",1,0,0,0,46.5317780898193,36.88
105,1,"No",1,"VT","USA",1,39,"No",1,0,1,"Vanilla",0,1,0,0,39.8303656077947,14.31
106,0,"Yes",1,"MA","USA",0,33,"No",0,0,0,"None",1,0,0,1,41.6792412726122,6.38
107,0,"Yes",1,"ME","USA",1,35,"Yes",1,1,0,"None",1,0,1,0,38.0209214365763,36.46
108,1,"No",1,"Other","USA",1,35,"No",0,0,1,"Chocolate",0,0,1,0,47.6595142036243,7.75
109,0,"Yes",1,"NY","USA",1,32,"No",1,0,1,"Vanilla",0,1,0,0,45.6319266612054,53.36
110,1,"No",1,"NH","USA",0,30,"No",0,1,0,"None",1,1,1,0,29.6404611442021,20.85
111,0,"Yes",1,"ME","USA",0,23,"Yes",1,0,0,"None",1,1,0,0,36.1987439160679,20.93
112,1,"No",1,"NH","USA",0,45,"No",0,0,1,"Chocolate",1,0,0,0,35.6313290077198,45.2
113,1,"No",1,"ME","USA",0,31,"Yes",0,0,0,"None",1,1,0,0,28.6713284071426,33.36
114,1,"No",1,"MA","USA",0,36,"No",1,0,1,"Chocolate",0,0,0,1,35.8382998055245,29.82
115,0,"Yes",1,"NY","USA",0,36,"No",1,1,0,"None",0,1,0,0,26.0386041932405,11.62
116,1,"No",0,"NaN","CAN",1,45,"No",1,1,0,"None",0,1,1,0,50.5419654650124,28.38
117,0,"Yes",1,"NY","USA",0,33,"No",0,0,0,"None",1,1,1,0,44.0018547007894,38.15
118,1,"No",0,"NaN","CAN",0,41,"No",1,0,0,"None",1,0,0,0,58.3522400139431,38.1
119,0,"Yes",1,"NH","USA",1,36,"No",1,0,1,"Vanilla",0,0,0,1,41.1081704379319,38.56
120,0,"Yes",1,"NH","USA",0,41,"No",1,1,1,"Chocolate",1,0,1,1,31.1096515702569,18.13
121,0,"Yes",1,"NY","USA",1,26,"No",1,0,1,"Vanilla",1,1,1,0,41.3018088025095,27.47
122,0,"Yes",1,"VT","USA",0,28,"No",1,0,0,"None",1,0,0,0,38.091551036925,13.19
123,0,"Yes",1,"MA","USA",0,36,"No",1,1,0,"None",0,1,0,1,55.5291949319257,17.75
124,0,"Yes",1,"NH","USA",1,32,"No",1,1,0,"None",0,0,0,1,37.5383345116021,19.24
125,0,"Yes",1,"MA","USA",0,35,"No",0,0,0,"None",0,0,1,0,49.6908420906621,13.95
126,1,"No",1,"ME","USA",1,39,"Yes",0,0,0,"None",0,1,0,0,40.2509956753849,39.61
127,0,"Yes",1,"ME","USA",0,39,"Yes",0,0,0,"None",1,0,0,1,23.3777156643938,34.33
128,0,"Yes",1,"MA","USA",0,39,"No",0,0,1,"Chocolate",0,0,0,0,36.0483169189946,45.15
129,1,"No",0,"NaN","IND",0,34,"No",1,0,1,"Vanilla",1,1,1,0,52.8122251224431,22.18
130,0,"Yes",1,"ME","USA",0,45,"Yes",1,0,0,"None",0,0,1,1,33.5992874155903,30.36
131,1,"No",0,"NaN","JPN",1,46,"No",1,0,0,"None",0,1,0,1,53.2898630904031,30.26
132,1,"No",1,"NH","USA",1,43,"No",0,0,0,"None",0,0,0,0,41.0020470783487,22.53
133,0,"Yes",1,"Other","USA",1,29,"No",0,0,0,"None",0,1,1,1,28.5814193585479,26.94
134,1,"No",1,"MA","USA",0,34,"No",0,0,0,"None",1,0,0,1,42.4085157841938,30.78
135,0,"Yes",1,"NH","USA",1,34,"No",1,0,0,"None",1,0,0,1,52.4520160330507,8.2
136,1,"No",1,"ME","USA",0,35,"Yes",0,0,0,"None",0,0,0,0,36.162256352234,21.49
137,1,"No",1,"ME","USA",1,30,"Yes",0,0,0,"None",1,1,1,1,34.6492936249328,30.3
138,1,"No",0,"NaN","ROK",0,30,"No",0,1,0,"None",1,1,1,1,55.0011708744052,38.22
139,1,"No",0,"NaN","CHN",0,38,"No",1,0,1,"Vanilla",0,1,0,0,45.4478974430162,21.31
140,1,"No",1,"MA","USA",1,42,"No",0,0,0,"None",0,1,1,0,37.8906115155139,44.71
141,0,"Yes",1,"RI","USA",0,25,"No",1,1,1,"Vanilla",0,0,1,0,41.8885775570092,27.7
142,0,"Yes",1,"NY","USA",1,20,"No",1,1,0,"None",0,1,0,1,39.348403733907,26.89
143,1,"No",1,"NY","USA",0,29,"No",1,0,1,"Vanilla",0,0,1,1,47.2619015808709,39.6
144,0,"Yes",1,"VT","USA",0,28,"No",1,1,0,"None",1,0,0,0,32.6814252768148,31.05
145,1,"No",1,"ME","USA",0,43,"Yes",0,0,0,"None",0,1,0,0,35.5913248475274,26.3
146,0,"Yes",1,"Other","USA",0,32,"No",1,1,1,"Chocolate",0,1,0,0,44.8392244545617,60.02
147,1,"No",1,"ME","USA",1,34,"Yes",0,0,0,"None",0,1,0,0,52.01192617816,30.81
148,0,"Yes",1,"ME","USA",0,41,"Yes",0,0,0,"None",0,0,0,0,37.3805577937366,36.85
149,0,"Yes",1,"NY","USA",0,30,"No",0,0,0,"None",0,0,1,1,40.6287944238859,18.72
150,1,"No",1,"VT","USA",1,29,"No",1,0,0,"None",1,0,0,0,47.5794928936038,41.68
151,0,"Yes",1,"MA","USA",1,31,"No",0,0,0,"None",0,1,0,1,29.1503865848412,29.56
152,0,"Yes",1,"MA","USA",0,20,"No",1,1,0,"None",0,1,0,1,29.4306296878747,32.72
153,1,"No",1,"NY","USA",0,36,"No",1,0,0,"None",0,1,1,0,49.1497840765493,25.29
154,0,"Yes",1,"ME","USA",1,25,"Yes",1,0,0,"None",0,0,1,0,45.8584184360816,19.13
155,1,"No",1,"MA","USA",0,30,"No",1,0,0,"None",1,1,1,0,23.238512645041,24.94
156,1,"No",1,"VT","USA",0,37,"No",1,0,0,"None",1,1,0,1,33.7093338355398,33.27
157,1,"No",1,"ME","USA",0,46,"Yes",1,0,1,"Vanilla",1,0,0,1,36.468197496938,6.07
158,0,"Yes",1,"ME","USA",1,35,"Yes",0,0,0,"None",1,1,1,0,37.9201993894961,25.72
159,1,"No",1,"MA","USA",0,39,"No",0,0,1,"Vanilla",0,1,0,1,26.4820392358973,34.21
160,1,"No",0,"NaN","ROK",1,35,"No",1,0,0,"None",1,1,1,1,60.600650898045,27.07
161,1,"No",1,"NH","USA",1,26,"No",0,0,0,"None",1,0,1,0,42.6699899671212,11.6
162,0,"Yes",1,"MA","USA",1,43,"No",1,0,0,"None",0,1,1,0,40.3985372479969,18.43
163,1,"No",1,"MA","USA",1,36,"No",1,0,0,"None",1,1,0,0,46.6481380484812,51.91
164,1,"No",1,"NH","USA",0,42,"No",1,0,1,"Chocolate",1,0,0,1,40.4782072231567,16.04
165,1,"No",0,"NaN","UK",0,35,"No",1,0,1,"Vanilla",1,1,0,0,53.9392071403008,30.43
166,1,"No",1,"ME","USA",0,33,"Yes",0,0,0,"None",1,1,1,0,25.7683041515144,18.66
167,1,"No",1,"NH","USA",0,38,"No",1,0,1,"Vanilla",1,1,0,1,29.0286812860887,27.72
168,0,"Yes",1,"Other","USA",1,32,"No",1,0,0,"None",1,1,0,1,39.7414737513777,-1.27
169,1,"No",0,"NaN","CAN",0,37,"No",1,0,0,"None",0,1,1,0,55.7810942830327,29.12
170,0,"Yes",1,"ME","USA",0,36,"Yes",0,0,1,"Chocolate",1,1,1,1,39.2009302524657,39.6
171,1,"No",1,"ME","USA",0,30,"Yes",1,0,0,"None",0,0,0,0,31.4700102589703,2.18
172,1,"No",1,"NH","USA",1,34,"No",0,0,0,"None",1,0,0,0,32.4887755234697,12.71
173,1,"No",1,"NH","USA",0,34,"No",0,0,0,"None",1,1,0,1,30.1006675387279,28.82
174,1,"No",1,"RI","USA",1,29,"No",1,0,0,"None",1,1,0,0,47.1895683899817,39.93
175,0,"Yes",1,"NH","USA",1,37,"No",0,0,1,"Vanilla",0,0,0,0,43.2205111935867,20.7
176,0,"Yes",1,"Other","USA",0,29,"No",0,0,0,"None",0,1,0,0,50.8399236057617,20.67
177,0,"Yes",1,"Other","USA",1,41,"No",1,0,0,"None",1,0,0,0,38.9704869405741,21.21
178,0,"Yes",1,"NY","USA",0,32,"No",1,1,0,"None",1,0,0,0,29.6020957184936,34.76
179,1,"No",1,"NH","USA",0,29,"No",1,1,0,"None",0,0,0,0,28.7679658026158,18.13
180,0,"Yes",1,"NY","USA",1,36,"No",1,0,0,"None",1,0,0,0,41.2788891806318,24.95
181,0,"Yes",1,"RI","USA",1,44,"No",1,0,1,"Vanilla",0,0,0,0,35.5006128381392,10.89
182,0,"Yes",1,"MA","USA",1,34,"No",1,0,0,"None",0,0,1,1,40.4710996898999,26.9
183,0,"Yes",1,"MA","USA",0,27,"No",0,0,0,"None",0,0,1,1,32.7403328508928,-2.94
184,0,"Yes",1,"VT","USA",1,37,"No",1,0,0,"None",0,0,0,1,30.7387013428958,36.19
185,0,"Yes",1,"NY","USA",0,45,"No",0,1,1,"Vanilla",1,1,0,0,48.6204755261822,47.46
186,1,"No",0,"NaN","CAN",0,37,"No",1,1,1,"Chocolate",1,1,0,1,45.1321561740025,34.53
187,0,"Yes",1,"ME","USA",0,34,"Yes",1,0,0,"None",0,1,1,0,26.2194007648445,19.07
188,1,"No",0,"NaN","CAN",0,41,"No",1,0,0,"None",1,1,0,0,56.02936992273,24.7
189,1,"No",0,"NaN","MEX",1,36,"No",1,1,0,"None",1,0,0,1,52.8508962148712,36.38
190,1,"No",1,"MA","USA",1,35,"No",0,0,0,"None",1,0,1,0,45.2995171562824,29.26
191,0,"Yes",1,"VT","USA",0,42,"No",1,1,1,"Vanilla",0,0,0,0,31.0615181994887,49.42
192,0,"Yes",1,"Other","USA",1,36,"No",1,0,0,"None",1,1,0,0,38.2893136061805,36.44
193,0,"Yes",1,"Other","USA",0,20,"No",1,0,0,"None",0,1,1,0,34.3701454296907,48.15
194,1,"No",1,"MA","USA",1,46,"No",1,1,0,"None",1,0,0,0,44.7601727975879,34.7
195,1,"No",0,"NaN","CAN",0,38,"No",1,0,0,"None",0,1,0,0,54.8194860436301,30.15
196,0,"Yes",1,"ME","USA",1,34,"Yes",1,0,0,"None",0,0,1,0,43.6079245738932,33.51
197,0,"Yes",1,"VT","USA",0,41,"No",0,0,0,"None",1,0,0,0,43.451777446879,40.03
198,1,"No",1,"ME","USA",1,37,"Yes",0,0,0,"None",0,1,1,0,38.0285901843613,37.75
199,0,"Yes",1,"ME","USA",0,33,"Yes",1,0,0,"None",1,0,0,0,42.2305479395373,17.36
200,1,"No",1,"NY","USA",0,37,"No",0,0,0,"None",1,1,1,0,35.0999796173562,20.1
201,1,"No",1,"RI","USA",1,32,"No",0,0,1,"Vanilla",1,0,0,1,40.0711201148116,25.3
202,1,"No",1,"Other","USA",1,27,"No",0,0,1,"Chocolate",1,0,1,1,27.6510899424504,22.62
203,1,"No",1,"NH","USA",1,35,"No",1,0,1,"Vanilla",0,1,1,1,35.0978324936736,30
204,1,"No",1,"Other","USA",0,35,"No",1,0,0,"None",1,1,1,0,45.0300572172331,39.35
205,1,"No",1,"Other","USA",1,48,"No",0,0,1,"Vanilla",0,0,0,1,40.6404565248212,53.08
206,0,"Yes",1,"NH","USA",1,32,"No",1,0,1,"Chocolate",1,0,0,1,46.940404485621,33.61
207,1,"No",1,"MA","USA",1,33,"No",1,0,1,"Vanilla",0,0,0,0,37.2799709427354,34.68
208,0,"Yes",1,"MA","USA",1,39,"No",0,0,0,"None",1,1,0,0,43.9006717995021,16.79
209,1,"No",1,"ME","USA",0,34,"Yes",1,0,0,"None",0,0,0,0,32.6112707091453,39.94
210,0,"Yes",1,"NH","USA",1,39,"No",1,0,0,"None",0,0,0,1,40.4078132899165,21.8
211,0,"Yes",1,"ME","USA",0,37,"Yes",1,0,0,"None",0,0,0,0,32.8218544308546,40.3
212,1,"No",0,"NaN","MEX",0,44,"No",0,0,1,"Chocolate",0,0,1,1,58.7990841206655,25.3
213,1,"No",1,"NY","USA",1,29,"No",0,0,0,"None",1,0,1,0,33.6586291668618,46.56
214,0,"Yes",1,"NY","USA",1,49,"No",1,0,1,"Chocolate",1,1,1,0,51.298997319971,38.74
215,0,"Yes",0,"NaN","CAN",1,45,"No",1,0,0,"None",1,0,0,1,59.9404770464814,24.17
216,1,"No",1,"ME","USA",1,37,"Yes",1,0,0,"None",1,1,0,0,35.3485749800139,29.99
217,0,"Yes",1,"Other","USA",0,42,"No",0,0,1,"Vanilla",0,0,0,0,26.8805208109041,49.83
218,0,"Yes",1,"MA","USA",0,37,"No",0,0,0,"None",1,0,0,0,20.0278278111753,13.03
219,0,"Yes",1,"ME","USA",1,39,"Yes",1,0,0,"None",1,0,1,0,36.5797193725187,34.14
220,0,"Yes",1,"NY","USA",1,33,"No",1,0,0,"None",0,1,0,1,49.3995199099362,28.66
221,1,"No",0,"NaN","MEX",1,39,"No",1,0,0,"None",0,1,0,1,44.6877237240589,31.29
222,1,"No",1,"ME","USA",0,39,"Yes",0,1,1,"Chocolate",1,0,0,0,51.1515546773027,45.29
223,1,"No",1,"MA","USA",0,33,"No",1,0,0,"None",0,0,1,0,37.4207492360943,14.42
224,0,"Yes",1,"ME","USA",0,39,"Yes",0,0,1,"Chocolate",0,0,1,1,54.2322813561555,27.75
225,1,"No",0,"NaN","BRA",1,44,"No",1,0,0,"None",1,0,0,1,40.7983486641909,31.6
226,1,"No",0,"NaN","BRA",0,48,"No",1,0,0,"None",1,1,1,0,50.2107023037984,24.98
227,0,"Yes",1,"NH","USA",0,40,"No",1,0,0,"None",1,0,0,0,46.5881024236679,38.96
228,0,"Yes",1,"VT","USA",0,33,"No",0,0,0,"None",0,0,0,0,18.7689180416553,44.07
229,0,"Yes",1,"NH","USA",1,35,"No",1,0,0,"None",1,0,0,0,43.908869813951,18.16
230,1,"No",0,"NaN","JPN",0,51,"No",1,0,0,"None",1,0,0,0,54.9511009674448,38.32
231,1,"No",1,"NH","USA",0,49,"No",0,0,1,"Vanilla",1,0,1,0,28.1611572219061,17.5
232,0,"Yes",1,"NH","USA",0,36,"No",0,0,1,"Chocolate",1,0,0,0,40.521193504187,20.31
233,1,"No",1,"Other","USA",1,43,"No",0,0,0,"None",1,0,1,0,40.3004053014498,19.31
234,0,"Yes",1,"NH","USA",1,31,"No",1,0,1,"Chocolate",1,0,0,0,49.2198277767578,26.1
235,1,"No",0,"NaN","GER",1,23,"No",1,0,0,"None",1,1,0,0,60.3914350650253,20.68
236,1,"No",0,"NaN","ROK",1,28,"No",1,1,0,"None",0,0,0,0,46.1999195964794,29.64
237,1,"No",0,"NaN","JPN",0,38,"No",1,0,0,"None",1,0,1,1,53.9409973328123,25.97
238,1,"No",1,"Other","USA",0,31,"No",0,0,0,"None",1,1,1,0,39.3284623955597,29.42
239,1,"No",0,"NaN","MEX",1,24,"No",1,0,0,"None",1,0,0,1,63.9080646063119,24.58
240,1,"No",0,"NaN","BRA",0,43,"No",1,0,0,"None",1,1,0,0,49.6500314701216,33.65
241,1,"No",0,"NaN","UK",0,44,"No",1,1,0,"None",1,1,1,1,63.1081732297055,30.44
242,1,"No",1,"ME","USA",0,26,"Yes",0,0,1,"Chocolate",0,0,0,0,40.5014525313486,38.48
243,1,"No",1,"ME","USA",0,38,"Yes",1,0,1,"Vanilla",0,1,0,1,41.8019779770831,28.79
244,1,"No",0,"NaN","CAN",1,39,"No",1,0,0,"None",0,1,1,0,56.9615670147305,25.35
245,1,"No",0,"NaN","IND",1,37,"No",1,0,0,"None",0,1,0,0,61.4902238734519,25.24
246,1,"No",0,"NaN","CAN",0,41,"No",1,0,1,"Chocolate",1,1,0,0,52.7704773097855,33.43
247,1,"No",0,"NaN","ROK",0,44,"No",1,0,1,"Vanilla",1,1,1,0,57.8419058664842,32.63
248,0,"Yes",1,"MA","USA",0,39,"No",0,0,0,"None",0,1,0,0,29.9079786633531,36.46
249,1,"No",0,"NaN","BRA",0,38,"No",1,0,1,"Vanilla",1,0,1,1,66.8413177927209,31.12
250,1,"No",0,"NaN","CAN",1,31,"No",1,0,0,"None",0,1,0,0,55.3010831968369,35.84
251,0,"Yes",1,"ME","USA",1,51,"Yes",0,0,0,"None",0,1,0,1,38.4286738509851,36.18
